exercise_name,category_name
Parallel Bar Dips,Chest
Parallel Bar Dips,Arms
Leg Press,Legs
Seated Leg Press,Legs
Barbell Bench Press,Chest
Barbell Bench Press,Arms
Cable Triceps Pushdown,Arms
Dumbbell Front Raise,Shoulders
Incline Dumbbell Curl,Arms
Concentration Curl,Arms
Barbell Curl,Arms
Kettlebell Goblet Squat,Legs
Overhead Squat,Legs
Overhead Squat,Shoulders
Overhead Squat,Core
Smith Machine Bench Press,Chest
Smith Machine Bench Press,Arms
Barbell Standing Calf Raise,Legs
Incline Dumbbell Triceps Extension,Arms
Dumbbell Side Bend,Core
Dumbbell Upright Row,Shoulders
Dumbbell Upright Row,Arms
Barbell Preacher Curl,Arms
Reverse Crunch,Core
Machine Lat Pulldown,Back
Machine Lat Pulldown,Arms
Seated Row (Machine),Back
Seated Row (Machine),Arms
Dumbbell Bent Over Row (Single Arm),Back
Dumbbell Bent Over Row (Single Arm),Arms
Incline Cable Chest Press,Chest
Incline Cable Chest Press,Arms
Hack Squat (Machine),Legs
Hanging Leg Raise,Core
Incline Dumbbell Press,Chest
Incline Dumbbell Press,Arms
Seated Cable Curl,Arms
Stability Ball Back Extension,Back
Stability Ball Back Extension,Core
Cable Crunch,Core
